cddaId,cddaCountryCode,cddaRegionCode,siteName,legalFoundationDate,FDsource
555640465,FR,FR,Ens Des Anciens Meandres Du Rhone A Serrieres De Briord,2014,https://patrimoines.ain.fr/n/anciens-meandres-du-rhone-a-serrieres-de-briord/n:1114
555640475,FR,FR,"Ens Carriere, Tourbiere Et Combe De Cerin A Ambleon",2015,https://patrimoines.ain.fr/n/carriere-de-cerin-a-marchamp-tourbiere-de-cerin-et-combe-de-cerin-a-ambleon/n:1118
555640466,FR,FR,Marais De Vaux,,https://patrimoines.ain.fr/n/marais-de-vaux-a-hauteville-lompnes/n:1357#p2630
555640390,FR,FR,Reserve Naturelle Nationale De Chalmessin,1993,https://reserve-chalmessin.org/dates-marquantes
555547118,FR,FR,Reserve Naturelle Regionale Des Etangs De Belval-En-Argonne,2012,https://reserve-etangs-belval-en-argonne.org/sites-naturels/reserve-naturelle-regionale-etangs-belval-en-argonne
555559646,FR,FR,"Pelouse De """"La Charme"""" A Villemoron",,https://reserve-pelouses-villemoron.org/milieux-naturels-6 and https://eunis.eea.europa.eu/sites/555559646
555640540,FR,FR,Tourbiere De La Pierrache,1996,https://stephane-gavoye.fr/2008/12/25/promenade-autour-de-la-tourbiere-de-la-pierrache-bellefontaine-%E2%80%93-vosges/
555640147,FR,FR,Marais Du Brezou,,https://www.agglo-tulle.fr/vie-pratique/tourisme/la-vallee-du-brezou
555640371,FR,FR,Iles De La Vienne,,https://www.amis-chassenon.org/68+les-iles-de-la-vienne.html
555559734,FR,FR,Marais De La Vanne A Villemaur,1991,https://www.aube-champagne.com/en/poi/le-marais-de-la-vanne/ adn https://tourisme-chaource-othe-armance.com/fiche/le-marais-de-la-vanne/
555640410,FR,FR,Marais Du Bourget,,https://www.bourgetenhuile.com/marais-du-bourget-en-huile/ part of des zones humides de la Savoie which started in the 90s: https://www.cen-savoie.org/nature-savoie/espaces-naturels/zones-humides
555640267,FR,FR,Ens Pelouses Et Combes De La Vallee De L'Ouche,1986,https://www.cen-bourgogne.fr/fichiers/pgs__ens_talant_plombie__res-150.pdf
555640342,FR,FR,Clos Molou (Le),1998,https://www.cen-centrevaldeloire.org/component/jnews/mailing/view/listid-2/mailingid-136/listype-1?Itemid=999
555546721,FR,FR,Val D'Herry (Le),1995,https://www.cen-centrevaldeloire.org/un-conservatoire-pour-la-nature/55-espaces-naturels-preserves/cher/146-la-loire-des-iles-commune-de-herry
555547140,FR,FR,Etang Masse (L'),2014,https://www.cen-centrevaldeloire.org/un-conservatoire-pour-la-nature/57-espaces-naturels-preserves/indre/179-letang-masse
555546755,FR,FR,Pelouses De Blere (Les),2005,"https://www.cen-centrevaldeloire.org/un-conservatoire-pour-la-nature/58-espaces-naturels-preserves/indre-et-loire/195-les-pelouses-de-blere-commune-de-blere ... there were two plots, one protected in 2003, a larger in 2005. I went with 2005 bs larger"
555640344,FR,FR,Friches Des Parterres (Les),1997,"https://www.cen-centrevaldeloire.org/un-conservatoire-pour-la-nature/59-espaces-naturels-preserves/loiret/222-friches-des-parterres-ensemble-du-val-de-sully-commune-de-germigny-des-pres The site was acquired between 95 and 99, I picked 97"
555640321,FR,FR,Mares De Sologne,2017,https://www.cen-centrevaldeloire.org/un-conservatoire-pour-la-nature/59-espaces-naturels-preserves/loiret/382-les-mares-et-etangs-de-sologne-canton-de-beaugency
555640290,FR,FR,Pelouses De Bertignolles (Les),2000,https://www.cen-centrevaldeloire.org/un-conservatoire-pour-la-nature/les-espaces-naturels-preserves/58-indre-et-loire/197-les-hauts-de-bertignolles-savigny-en-veron
555640121,FR,FR,Etang De Mai,,"https://www.cen-isere.org/les-autres-sites-en-gestion/etang-de-mai/#toggle-id-1 this website lists many CDDAs, but never provides a date"
555640112,FR,FR,Marais De Cras,,https://www.cen-isere.org/les-autres-sites-en-gestion/marais-de-cras/#toggle-id-3
555640120,FR,FR,Marais De Charvas,1979,https://www.cen-isere.org/wp-content/uploads/2016/01/Marais-Charvas-pg.pdf
555640114,FR,FR,Confluence Bourbre-Catelan,1994,https://www.cen-isere.org/wp-content/uploads/2016/06/BOCA_PG-2010.pdf
555640615,FR,FR,Prairies Du Kohlmatt Et Du Hammelberg,,https://www.cen-lorraine.fr/medias/fichiers/etang_rouge_etang_du_moulin_inswiller.pdf
555546902,FR,FR,Cumenaille,1990,https://www.cen-lorraine.fr/medias/fichiers/site_naturel_de_cumenaille_55.pdf
555640440,FR,FR,Tourbiere De Sagne-Redonde,2001,https://www.cen-rhonealpes.fr/les-territoires/ardeche/tourbiere-de-sagne-redonde/
555640471,FR,FR,Marais De Boistray,1995,https://www.cen-rhonealpes.fr/les-territoires/rhone/marais-de-boistray/
555640532,FR,FR,Boucherance - La Lilette,,https://www.cen-savoie.org/sites/default/files/transferts/publications/documents/FP71-BD.pdf
555640347,FR,FR,"Pelouses Du """"Rebord Du Plateau De Langres """" De Cohons A Chalindrey",1999,https://www.cohons.fr/copie-de-patrimoine
555640054,FR,FR,Val De Loire- Meandre Des Germains,,https://www.documentation.eauetbiodiversite.fr/notice/plan-de-gestion-2013-2017-meandres-des-germains-zone-d-interventions-saint-aubin-sur-loire-et-saint-0
